id,label,name,doc_instance_id,clause_id,clause_index,clause_type_prelim,clause_text,mechanism_id,mechanism_type,mechanism_source,param_mention_id,param_def_id,param_type,raw_value,raw_unit,norm_value,norm_unit,canonical_key,range_start,range_end,op,scope_unit,bind_confidence,strict_all,strict_high,source_path,extraction_version,track
Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,Clause,,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,6,subsidy_rule,（每户每年最高补贴1200元），所需资金由市、县按照3：7比例分担，补贴时间暂定3年。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,Clause,,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,2,subsidy_rule,平缓补贴退坡力度和节奏，原则上2020 -2022年补贴标准分别在上一年基础上退坡10%、20%、30%（2020年补贴标准见附件）。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,Clause,,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0004,4,subsidy_rule,（含网约车）、环卫、城市物流配送、邮政快递、民航机场以及党政机关公务领域符合要求的车辆，2020年补贴标准不退坡，2021-2022年补贴标准分别在上一年基础上退坡10%、20%。原则上每年补贴规模上限约200万辆。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,Clause,,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0009,9,subsidy_rule,补贴政策结束后，对未达到清算车辆数量要求的企业，将安排最终清算。新能源乘用车补贴前售价须在30万元以下,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,Clause,,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0010,10,other,（含30万元），为鼓励“换电”新型商业模式发展，加快新能源汽车推广，“换电模式”车辆不受此规定。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,Clause,,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722,0c6f09a25dd67445d4329a19b7c075e48243ee2db53c7faa02f8ad5296257722#clause_0000,0,task_assessment,"<h2>file:关于印发河津市2024年冬季清洁取暖工作实施方案的通知.txt</h2>
2024年5月23日	关于印发河津市2024年冬季清洁取暖工作实施方案的通知	　
2024年11月15日前，全市完成冬季清洁取暖改造“煤改电”13838户任务，具体数据以验收为准。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999#clause_0003,Clause,,0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999,0d4df7638a86e161686866b0b8ac4efc520827097e76902f88d922c41e699999#clause_0003,3,time_rule,到2025年，电能占终端能源消费比重达到30%左右。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,Clause,,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79,0d66b8c7139a0f984bbaf759d12e1bb40d66b6e7f05bab043de5e56b4398fb79#clause_0000,0,task_assessment,"<h2>file:关于印发河津市2024年冬季清洁取暖工作实施方案的通知.txt</h2>
2024年5月23日	关于印发河津市2024年冬季清洁取暖工作实施方案的通知	　
2024年11月15日前，全市完成冬季清洁取暖改造“煤改电”13838户任务，具体数据以验收为准。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,Clause,,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0000,0,time_rule,"<h2>file:16年电能替代文件.txt</h2>
“十三五”期间将全面推进上述四个领域的电能替代实现能源终端消费环节替代散烧煤、燃油消费约1.3亿吨标煤带动电煤占煤炭消费比重提高约1.9%带动电能占终端能源消费比重提高约1.5%促进电能消费比重达到约27%。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,Clause,,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a,0de53d8f7a3a1c2de8a8ce98c12216d63084f7e235dd8ddcc02f07760d36a17a#clause_0026,26,time_rule,2016—2020年实现能源终端消费环节电能替代散烧煤、燃油消费总量约1.3亿吨标煤带动电煤占煤炭消费比重提高约1.9%带动电能占终端能源消费比重提高约1.5%促进电能占终端能源消费比重达到约27%。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0001,Clause,,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0001,1,time_rule,"2013年9月10日    国务院关于印发大气污染防治行动计划的通知
到2017年，全国地级及以上城市可吸入颗粒物浓度比2012年下降10%以上，优良天数逐年提高；",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,Clause,,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625,0ef7089f429ca4377a5b92c9f7a419ffcb4a3102d8d0ac5666c9f1bfef4ba625#clause_0002,2,other,"京津冀、长三角、珠三角等区域细颗粒物浓度分别下降25%、20%、15%左右，
其中北京市细颗粒物年均浓度控制在60微克/立方米左右。
加强工业企业大气污染综合治理。全面整治燃煤小锅炉。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0000,Clause,,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0000,0,time_rule,"<h2>file:《关于大气污染防治行动计划的通知》.txt</h2>
2013年9月10日    国务院关于印发大气污染防治行动计划的通知
到2017年，全国地级及以上城市可吸入颗粒物浓度比2012年下降10%以上，优良天数逐年提高；",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0002,Clause,,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b,0f3400361f4f38388365c57c706fc464f0fa6aee962bdb434173380878f8c94b#clause_0002,2,other,京津冀、长三角、珠三角等区域细颗粒物浓度分别下降25%、20%、15%左右，其中北京市细颗粒物年均浓度控制在60微克/立方米左右。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0000,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0000,0,time_rule,"<h2>file:《太原市2018年散煤治理工作实施方案》.txt</h2>
《太原市2018年散煤治理工作实施方案》提出，10月底前，全市20吨以下燃煤锅炉要实现清零，完成“三县一市”平川地区清洁供暖改造10万户以上、城南热源厂3台270蒸吨燃煤采暖锅炉清洁能源替代，推进城西热源厂4台640蒸吨燃煤采暖锅炉清洁能源替代，年减少燃煤量83.4万吨。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0001,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0001,1,subsidy_rule,"农村“煤改电”：每户设备购置最高补贴2.74万元

《实施方案》明确，市县两级政府承担配套输变电工程的征地、拆迁、青赔等前期协调工作，对相关费用给予适当补贴。",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0002,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0002,2,subsidy_rule,对10千伏及以下配套电网工程，给予30%的补贴，其余费用由国网太原供电分公司负责。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0003,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0003,3,subsidy_rule,采用空气源热泵供暖的居民，设备购置费用由市县两级财政补贴94%，补贴最高不超过每户2.74万元；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0004,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0004,4,subsidy_rule,采用高效电锅炉、蓄热式电暖气和热库供暖的居民，设备购置费用由市县两级财政补贴89%，补贴最高不超过每户1.44万元。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0005,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0005,5,subsidy_rule,每个采暖期，市、县两级财政对完成“煤改电”的农户不分峰谷每度电补贴0.2元，最高不超过2400元。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0009,Clause,,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de,10695560c26cc67b7a3e26b8dbcd7b856b0b17ef49c31ba529efd3caf059a1de#clause_0009,9,subsidy_rule,市县两级财政补贴燃气企业1万元/户(含管网敷设、路面开挖恢复、燃气采暖炉、燃气灶具和安装等费用)。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:1073cb109211fd941aebac04c4969f3a87bbd9186801a40532d013098ee3ab11#clause_0003,Clause,,1073cb109211fd941aebac04c4969f3a87bbd9186801a40532d013098ee3ab11,1073cb109211fd941aebac04c4969f3a87bbd9186801a40532d013098ee3ab11#clause_0003,3,subsidy_rule,"更新车龄 8 年及以上的新能源公交车及动力
电池，平均每辆车补贴6万元",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0002,Clause,,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0002,2,time_rule,具体指标：全国细颗粒物（PM2.5）未达标地级及以上城市浓度比2015年下降18%以上，地级及以上城市空气质量优良天数比率达到80%以上；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0003,Clause,,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0003,3,other,全国地表水Ⅰ－Ⅲ类水体比例达到70%以上，劣Ⅴ类水体比例控制在5%以内；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0004,Clause,,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0004,4,other,近岸海域水质优良（一、二类）比例达到70%左右；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0005,Clause,,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0005,5,time_rule,二氧化硫、氮氧化物排放量比2015年减少15%以上，化学需氧量、氨氮排放量减少10%以上；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0006,Clause,,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4,13677b49d0d053be96bfcd32cd36eeba7c68f125c6f32cc220322ba98c178bf4#clause_0006,6,other,受污染耕地安全利用率达到90%左右，污染地块安全利用率达到90%以上；生态保护红线面积占比达到25%左右；森林覆盖率达到23.04%以上。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0001,Clause,,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0001,1,time_rule,优化峰谷时段划分：高峰时段08:00-11:00、17:00-23:00；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0002,Clause,,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0002,2,time_rule,低谷时段00:00-07:00、11:00-13:00；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0003,Clause,,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0003,3,time_rule,平时段07:00-08:00、13:00-17:00、23:00-24:00。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0004,Clause,,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0004,4,time_rule,适当扩大峰谷价差：高峰时段电价在平时段电价基础上上浮60%，低谷时段电价在平时段电价基础上下浮55%，尖峰时段电价在高峰时段电价基础上上浮20%。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0005,Clause,,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8,15d322df36604ef5082b3cbb152c1ae45bda6ad3f5d941b024f5371b4210c4d8#clause_0005,5,time_rule,实施季节性尖峰电价：每年冬、夏两季对大工业电力用户实施尖峰电价政策，尖峰时段电价在峰时段电价基础上上浮20%。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0004,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0004,4,subsidy_rule,按照“改造政府补贴，不足用户补齐”的原则，居民用电取暖设备费用每户补贴最高不超过2万元，市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0007,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0007,7,subsidy_rule,每个采暖期每户补贴用电费用最高不超过2400元，市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0009,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0009,9,scope_rule,对城乡低保对象、特困供养人员等贫困户及学校、养老机构（光荣院、敬老院）等非营利性公益单位集体用户，改造费由市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0011,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0011,11,subsidy_rule,按照“改造政府补贴，不足用户补齐”的原则，居民燃气管网配套费用每户补贴最高不超过5000元，市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0012,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0012,12,subsidy_rule,居民燃气取暖设备费用每户补贴最高不超过3000元，市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0013,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0013,13,subsidy_rule,每个采暖期每户补贴燃气费用最高不超过2400元，市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0015,Clause,,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b,17b169c01d0fd11691f3014066bc982e9d5aae3ef301b3d897d2a4b986dac45b#clause_0015,15,scope_rule,对城乡低保对象、特困供养人员等贫困户及学校、养老机构（光荣院、敬老院）等非营利性公益单位集体用户，改造费由市、县两级政府按1:1的比例分担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183#clause_0001,Clause,,18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183,18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183#clause_0001,1,pricing_rule,政策将居民用电量分为三档：第一档月用电量200度（含）以内，维持现行电价标准；第二档月用电量201—400度（含），每度电价上调0.05元；第三档月用电量401度（含）以上，每度电价上调0.30元。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183#clause_0002,Clause,,18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183,18aede9bc4a893e4dc4dcc46a9c6800761d8d391b46ad5d676d183b8aebaa183#clause_0002,2,pricing_rule,未实行“一户一表”的合表居民用户统一每度电价上调0.02元。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
